  3 shadow                 -                  slate-700          components/Navbar.tsx, components/dashboard/DashboardLayout.tsx, components/dashboard/Dash
  2 shadow                 -                  slate-900/50       components/FeaturesSection.tsx, components/PricingCard.tsx
 32 text                   slate-600          slate-300          components/FeaturesSection.tsx, components/Hero.tsx, components/Navbar.tsx, components/Ove
 15 text                   slate-800          slate-100          components/FeaturesSection.tsx, components/Hero.tsx, components/Navbar.tsx, components/Ove
 12 text                   indigo-600         indigo-400         components/Button.tsx, components/ContactEmail.tsx, components/FeaturesSection.tsx, compon
 11 text                   white              -                  components/Button.tsx, components/CTASection.tsx, components/ConfirmationDialog.tsx, compo
 10 text                   slate-800          white              components/FeaturesSection.tsx, components/OveragePricingSection.tsx, components/PricingSe
 10 text                   slate-500          slate-400          components/Footer.tsx, components/Navbar.tsx, components/OveragePricingSection.tsx, compon
  9 text                   slate-600          slate-400          components/dashboard/PlanQuota.tsx, components/dashboard/RequestsPerDay.tsx, routes/__root
  9 text                   gray-900           slate-100          components/ConfirmationDialog.tsx, components/dashboard/ApiKeyGeneratedDialog.tsx, compone
  9 text                   gray-500           slate-300          components/dashboard/ApiKeysManager.tsx
  5 text                   slate-900          slate-100          components/dashboard/BarChart.tsx, components/dashboard/PlanQuota.tsx, components/dashboar
  4 text                   slate-700          slate-200          components/Footer.tsx, components/docs/ApiReference.tsx
  3 text                   gray-600           slate-400          routes/auth/callback.tsx, routes/dashboard.tsx, routes/login.tsx
  3 text                   red-700            red-300            routes/dashboard/settings.tsx, routes/login.tsx
  3 text                   slate-500          slate-300          components/OveragePricingSection.tsx, components/docs/ApiReference.tsx
  3 text                   gray-700           slate-100          components/ConfirmationDialog.tsx, components/dashboard/ApiKeyGeneratedDialog.tsx, compone
  2 text                   gray-900           white              routes/auth/callback.tsx, routes/login.tsx
  2 text                   gray-700           slate-300          components/dashboard/ApiKeyGeneratedDialog.tsx, routes/login.tsx
  2 text                   slate-600          -                  components/dashboard/PlanQuota.tsx, routes/__root.tsx
  2 text                   indigo-700         indigo-300         components/Button.tsx, components/Hero.tsx
  2 text                   indigo-700         slate-300          components/dashboard/DashboardSidebar.tsx
  1 text                   emerald-700        emerald-400        routes/status.tsx
  1 text                   rose-700           rose-400           routes/status.tsx
  1 text                   white              white              routes/docs.tsx
  1 text                   slate-800          -                  routes/dashboard/settings.tsx
  1 text                   red-900            red-200            routes/dashboard/settings.tsx
  1 text                   red-700            red-200            routes/dashboard/settings.tsx
  1 text                   gray-600           slate-300          components/ConfirmationDialog.tsx
  1 text                   indigo-100         indigo-200         components/CTASection.tsx
  1 text                   slate-100          -                  components/docs/ApiReference.tsx
  1 text                   gray-700           slate-200          components/dashboard/ProfileSettings.tsx
  1 text                   slate-700          slate-300          components/dashboard/PlanQuota.tsx
  1 text                   -                  slate-100          components/dashboard/ApiKeysManager.tsx
  1 text                   red-800            -                  components/dashboard/ApiKeysManager.tsx
  1 text                   red-600            red-400            components/dashboard/ApiKeysManager.tsx
  1 text                   red-800            red-200            components/dashboard/ApiKeysManager.tsx
  1 text                   gray-400           slate-500          components/dashboard/ApiKeysManager.tsx
  1 text                   gray-500           slate-400          components/dashboard/ApiKeysManager.tsx
  1 text                   amber-400          -                  components/dashboard/ApiKeyGeneratedDialog.tsx
  1 text                   amber-800          amber-200          components/dashboard/ApiKeyGeneratedDialog.tsx
  1 text                   amber-700          amber-300          components/dashboard/ApiKeyGeneratedDialog.tsx
  2 to                     sky-100            sky-900            components/Hero.tsx, components/dashboard/DashboardLayout.tsx
  1 to                     purple-600         purple-700         components/CTASection.tsx
